Short description,Description,Caller,Assignment group,New_Assignment_Groups,Text_length,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
engineering tool says not connected and unable to submit reports,engineering tool say connect unable submit report engineering tool say connect unable submit report,badgknqs xwelumfz,GRP_0,GRP_0,64,0.0,0.991599977016449,"user, issue, tool, unable, access, error, need, work, help, system","['engineering', 'tool', 'say', 'connect', 'unable', 'submit', 'report', 'engineering', 'tool', 'say', 'connect', 'unable', 'submit', 'report']"
hr_tool site not loading page correctly,hr tool site loading page correctly hr tool site loading page correctly,dcqsolkx kmsijcuz,GRP_0,GRP_0,39,0.0,0.7940999865531921,"user, issue, tool, unable, access, error, need, work, help, system","['site', 'loading', 'page', 'correctly', 'hr', 'tool', 'site', 'loading', 'page', 'correctly']"
unable to login to hr_tool to sgxqsuojr xwbesorf cards,unable login hr tool sgxqsuojr xwbesorf card unable login hr tool sgxqsuojr xwbesorf card,oblekmrw qltgvspb,GRP_0,GRP_0,54,1.0,0.6180999875068665,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['unable', 'card', 'card']"
user wants to reset the password,user want reset password user want reset password,iftldbmu fujslwby,GRP_0,GRP_0,32,0.0,0.5899999737739563,"user, issue, tool, unable, access, error, need, work, help, system","['user', 'want', 'reset', 'password', 'user', 'want', 'reset', 'password']"
unable to open payslips ,unable open payslip unable open payslip,epwyvjsz najukwho,GRP_0,GRP_0,24,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'open', 'payslip', 'unable', 'open', 'payslip']"
ticket update on inplant_874743,ticket update inplant ticket update inplant,fumkcsji sarmtlhy,GRP_0,GRP_0,31,2.0,0.954800009727478,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['ticket', 'update', 'inplant', 'ticket', 'update', 'inplant']"
unable to login to company vpn,unable login company vpn hi unable login company vpn website try open new session use link able get pls help urgently work home tomorrow due month end closing,chobktqj qdamxfuc,GRP_0,GRP_0,244,0.0,0.9940999746322632,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'company', 'unable', 'company', 'try', 'open', 'new', 'session', 'use', 'link', 'able', 'help', 'urgently', 'work', 'home', 'tomorrow', 'due', 'month', 'end', 'closing']"
"when undocking pc , screen will not come back",undock pc screen come back undocking pc screen come back,sigfdwcj reofwzlm,GRP_3,GRP_3,45,0.0,0.9871000051498413,"user, issue, tool, unable, access, error, need, work, help, system","['pc', 'screen', 'come', 'back', 'undocking', 'pc', 'screen', 'come', 'back']"
erp SID_34 account locked,erp sid account lock erp sid account lock,nqdyowsm yqerwtna,GRP_0,GRP_0,25,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['account', 'lock']"
unable to sign into vpn,unable sign vpn unable sign vpn,ftsqkvre bqzrupic,GRP_0,GRP_0,23,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'sign', 'unable', 'sign']"
unable to check payslips,unable check payslip unable check payslip,mrzgjdal whnldmef,GRP_0,GRP_0,24,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'check', 'payslip', 'unable', 'check', 'payslip']"
vpn issue,vpn issue hello helpdesk able connect vpn home office couple hour ago connected working anymore get message session expire click link nothing happen nee help dynamic crm click chat live agent regard dynamic crm question click good,ugephfta hrbqkvij,GRP_0,GRP_0,473,0.0,0.9944000244140625,"user, issue, tool, unable, access, error, need, work, help, system","['able', 'couple', 'hour', 'ago', 'connected', 'working', 'anymore', 'get', 'message', 'session', 'expire', 'click', 'link', 'happen', 'help', 'live', 'agent', 'regard', 'question', 'click', 'good']"
unable to connect to vpn,unable connect vpn unable connect vpn,pfmcnahv ofzlusri,GRP_0,GRP_0,24,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'connect', 'unable', 'connect']"
user called for vendor phone number,user call vendor phone number user call vendor phone number,fumkcsji sarmtlhy,GRP_0,GRP_0,35,0.0,0.6614000201225281,"user, issue, tool, unable, access, error, need, work, help, system","['user', 'call', 'vendor', 'phone', 'number', 'user', 'call', 'vendor', 'phone', 'number']"
vpn not working,vpn work hello able connect company network vpn pls check sir able upload result company network,dceoufyz saufqkmd,GRP_0,GRP_0,206,0.0,0.5620999932289124,"user, issue, tool, unable, access, error, need, work, help, system","['work', 'able', 'connect', 'company', 'network', 'check', 'sir', 'able', 'upload', 'result', 'company', 'network']"
erp SID_37 password reset ,erp sid password reset erp sid password reset,jqhtkfsm xoehtbnl,GRP_0,GRP_0,26,1.0,0.7946000099182129,"company, site, ticket, network, circuit, reset, backup, start, power, vendor",['reset']
unable to login to hr_tool to check payslips,unable login hr tool check payslip unable login hr tool check payslip,dtisfuyp fpvrjlkz,GRP_0,GRP_0,44,0.0,0.9871000051498413,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'tool', 'check', 'payslip', 'unable', 'hr', 'tool', 'check', 'payslip']"
account locked out,account lock account lock,lduqxywt wcydjgvl,GRP_0,GRP_0,18,0.0,0.9103999733924866,"user, issue, tool, unable, access, error, need, work, help, system",['lock']
unable to login to hr_tool,unable login hr tool unable login hr tool,mwebfhdz csndrxgi,GRP_0,GRP_0,26,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'tool', 'unable', 'tool']"
unable to log in to erp SID_34 ,unable log erp sid unable log erp sid,hvskpglx bpsfxmon,GRP_0,GRP_0,31,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'unable']"
password reset for collaboration_platform,password reset collaboration platform password reset collaboration platform,wrlzneit ayqutwgh,GRP_0,GRP_0,41,1.0,0.7904999852180481,"company, site, ticket, network, circuit, reset, backup, start, power, vendor",['password']
reset  users,reset user hi please reset user password client -PRON- username xyz,qcehailo wqynckxg,GRP_0,GRP_0,64,0.0,0.6028000116348267,"user, issue, tool, unable, access, error, need, work, help, system","['reset', 'user', 'reset', 'user', 'pron']"
duplication of network address.,duplication network address gentle two device try share ip address try share one printer hostname prtjc new display erp display use dhcp get address assign printer hard code guess address get set static address dhcp need correct display pick another address,kxsceyzo naokumlb,GRP_4,GRP_4,486,0.0,0.8992000222206116,"user, issue, tool, unable, access, error, need, work, help, system","['duplication', 'address', 'gentle', 'device', 'try', 'share', 'address', 'try', 'share', 'printer', 'hostname', 'dhcp', 'address', 'code', 'guess', 'address', 'get', 'set', 'static', 'address', 'dhcp', 'need', 'correct', 'display', 'pick', 'address']"
ess password reset,ess password reset ess password reset,fsqwkbez eudsantq,GRP_0,GRP_0,18,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
unable to install flash player,unable install flash player unable install flash player,xzbhmfpg bhqxesym,GRP_0,GRP_0,30,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'install', 'unable', 'install']"
ticket_no1564677-employment status - new non-employee ,ticket employment status new non employee ticket employment status new non employee,eqzibjhw ymebpoih,GRP_0,GRP_0,56,0.0,0.8535000085830688,"user, issue, tool, unable, access, error, need, work, help, system","['ticket', 'new', 'non', 'employee', 'ticket', 'new', 'non', 'employee']"
erp SID_34 account unlock and password reset,erp sid account unlock password reset erp sid account unlock password reset,ztlvkmyi xldyitwz,GRP_0,GRP_0,44,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
unable to resolve ticket_no assigned to self,unable resolve ticket assign self status button dierppearing second,shloyakw jztsxdln,GRP_0,GRP_0,54,0.0,0.8270999789237976,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'resolve', 'ticket', 'assign', 'self', 'status', 'button', 'dierppeare', 'second']"
installing engineering tool,instal engineering tool need install engineering tool pc,qcxivzag vyucbagx,GRP_0,GRP_0,42,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['instal', 'engineering', 'tool', 'nee', 'install', 'engineering', 'tool', 'pc']"
call for ecwtrjnq jpecxuty,call call,olckhmvx pcqobjnd,GRP_0,GRP_0,26,2.0,0.8762000203132629,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['call', 'call']"
ticket update - inplant_874615,ticket update inplant ticket update inplant,olckhmvx pcqobjnd,GRP_0,GRP_0,30,2.0,0.954800009727478,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['ticket', 'update', 'inplant', 'ticket', 'update', 'inplant']"
tablet 7350-sound not working,tablet sound work tablet sound work,eqxakzyi cwfrjitq,GRP_0,GRP_0,29,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['work', 'tablet', 'sound', 'work']"
unable to login to system,unable login system unable login system,zcaeryfo tdovhslb,GRP_0,GRP_0,25,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'login', 'system', 'unable', 'login', 'system']"
please reroute jobs on printer01 to printer02 - issue needs to be resolved today,please reroute job printer printer issue need resolve today hi printer printer working need part replace reroute job queue printer printer wihuyjdo qpogfwkb indicate prqos need new part deliver day inwarehouse tool need print printer need take care today since inwarehouse tool print pick outside vendor pm usa daily basis please contact enkataramdntyana question job queue today,yisohglr uvteflgb,GRP_5,GRP_5,604,0.0,0.9199000000953674,"user, issue, tool, unable, access, error, need, work, help, system","['reroute', 'job', 'printer', 'printer', 'issue', 'nee', 'resolve', 'today', 'printer', 'printer', 'work', 'need', 'part', 'replace', 'reroute', 'job', 'printer', 'printer', 'wihuyjdo', 'indicate', 'need', 'new', 'part', 'deliver', 'day', 'inwarehouse', 'tool', 'need', 'print', 'printer', 'nee', 'take', 'care', 'today', 'inwarehouse', 'tool', 'print', 'pick', 'basis', 'contact', 'question', 'job', 'queue', 'today']"
unable to login to hr_tool etime,unable login hr tool etime unable login hr tool etime,wxdrynag hlktazfm,GRP_0,GRP_0,32,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'tool', 'unable', 'hr', 'tool', 'etime']"
can not log into hr_tool etime through single sign on portal,log hr tool etime single sign portal log hr tool etime single sign portal,wpdxlbhz etvzjmhx,GRP_0,GRP_0,60,0.0,0.9811000227928162,"user, issue, tool, unable, access, error, need, work, help, system","['tool', 'etime', 'portal', 'log', 'tool', 'etime']"
password changed in password_management_tool but didnt update for erp account,password change password management tool update erp account password change password management tool update erp account,lduqxywt wcydjgvl,GRP_0,GRP_0,77,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['tool', 'update', 'tool', 'update']"
job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_6,GRP_6,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
windows password change via password_management_tool,windows password change via password management tool window password change via password management tool,boyqfsca yoqrmnep,GRP_0,GRP_0,52,0.0,0.9775000214576721,"user, issue, tool, unable, access, error, need, work, help, system","['window', 'password', 'change', 'management', 'tool']"
status does not change on telephony_software,status change telephony software close call agent keep acd call status,aofnvyzt eqiyskhm,GRP_7,GRP_7,65,0.0,0.9836000204086304,"user, issue, tool, unable, access, error, need, work, help, system","['status', 'close', 'call', 'agent', 'keep', 'call', 'status']"
job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00  ,job mm zscr dly merktc fail job scheduler job mm zscr dly merktc fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,121,2.0,0.9696000218391418,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'dly', 'fail', 'job', 'job', 'dly', 'fail', 'job', 'scheduler']"
vip 2 - i need my password_management_tool password manager password reset.,vip need password management tool password manager password reset need password management tool password manager password reset,jwhmqnye xlpvdwre,GRP_0,GRP_0,74,0.0,0.6464999914169312,"user, issue, tool, unable, access, error, need, work, help, system",[]
reset scm_software password,reset scm software password hello please reset scm software password global product manager markhtyete initiative,cdbaoqts wqbsodni,GRP_0,GRP_0,231,0.0,0.7285000085830688,"user, issue, tool, unable, access, error, need, work, help, system","['reset', 'software', 'global', 'product', 'manager']"
account locked out while in office,account lock office account keep lock possible reason companysecure mobile device email setup incorrect password store windows network password match,kyzhcsrq fwyltvpd,GRP_0,GRP_0,167,0.0,0.684499979019165,"user, issue, tool, unable, access, error, need, work, help, system","['account', 'keep', 'lock', 'possible', 'reason', 'companysecure', 'mobile', 'device', 'email', 'setup', 'incorrect', 'password', 'store', 'network', 'password', 'match']"
skype meeting,skype meet good morning reset password lose option set skype meeting please help recall able bring back last time,dlougnqw jiuybxew,GRP_0,GRP_0,256,0.0,0.9117000102996826,"user, issue, tool, unable, access, error, need, work, help, system","['meet', 'morning', 'reset', 'password', 'option', 'set', 'meeting', 'help', 'recall', 'able', 'bring', 'back', 'last', 'time']"
enquiry on impact rewards,enquiry impact reward enquiry impact reward get password reset,kpudhygb vnizrdeb,GRP_0,GRP_0,52,1.0,0.6105999946594238,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['enquiry', 'impact', 'reward']"
need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  thanks,need dn material plant plant pcs thank need dn material plant plant pc,wckrxovs aunsgzmd,GRP_6,GRP_6,69,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['need', 'material', 'plant', 'plant', 'pc', 'thank', 'material', 'plant', 'plant', 'pc']"
unlock logon password,unlock logon password hello please help unlock company net log password urgent,cnhkypxw lafncksi,GRP_0,GRP_0,121,0.0,0.9722999930381775,"user, issue, tool, unable, access, error, need, work, help, system","['help', 'unlock', 'company', 'urgent']"
job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00  ,job mm zscr dly merktc fail job scheduler job mm zscr dly merktc fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,121,2.0,0.9696000218391418,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'dly', 'fail', 'job', 'job', 'dly', 'fail', 'job', 'scheduler']"
job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
password changed required for user- abc,password change require user abc password change require user abc,qslrdpwk mdkivacj,GRP_0,GRP_0,39,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['require', 'user']"
issues with outlook,issue outlook best,lkfzibrx ljnabpgx,GRP_0,GRP_0,95,0.0,0.9487000107765198,"user, issue, tool, unable, access, error, need, work, help, system","['issue', 'well']"
 urgent - create dlv,urgent create dlv please help try create dlv mm sto sto sto plant plant,qfnthlam lxvnwuja,GRP_6,GRP_6,143,0.0,0.9836000204086304,"user, issue, tool, unable, access, error, need, work, help, system","['urgent', 'create', 'help', 'try', 'create', 'plant', 'plant']"
apac company : two switches are down since 3.45 am et on 10/31.,apac company two switch since et apac company two switch since et company ap chn apac company access sw company ap chn apac company access sw,utyeofsk rdyzpwhi,GRP_8,GRP_8,159,1.0,0.9714999794960022,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['company', 'switch', 'company', 'switch', 'et', 'company', 'company', 'access', 'company', 'access']"
error login on to the SID_34 system.,error login sid system error login sid system verify user detail employee manager name user try password management tool pwd manager unlocked erp -PRON- caller confirm able login issue resolve,quxtnlgd tqnjyzsm,GRP_0,GRP_0,233,0.0,0.916100025177002,"user, issue, tool, unable, access, error, need, work, help, system","['system', 'verify', 'user', 'detail', 'employee', 'manager', 'name', 'user', 'try', 'manager', 'able', 'issue', 'resolve']"
delivery note can't do post goods issue,delivery note post good issue n plant plant plant issue display ekpo sobkz ekpo umsok ekpo kzbws ekpo kzvbr note support check entry,lyzqrctk cfotnzrx,GRP_0,GRP_0,182,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['post', 'good', 'issue', 'plant', 'plant', 'plant', 'issue', 'support', 'check', 'entry']"
job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_9,GRP_9,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_8,GRP_8,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
user locked- user :xyz,user lock user xyz team please kindly release lock computer user xyz user name fbmugzrl ahyiuqev,przndfbo pldqbhtn,GRP_0,GRP_0,141,0.0,0.9854999780654907,"user, issue, tool, unable, access, error, need, work, help, system","['user', 'user', 'kindly', 'release', 'lock', 'computer', 'user', 'ahyiuqev']"
dell 7350: my laptop speakers is not working again and requires your urgent help.,dell laptop speaker working require urgent help laptop speaker working require urgent help,jgautdmk fpurxzew,GRP_0,GRP_0,70,0.0,0.7315999865531921,"user, issue, tool, unable, access, error, need, work, help, system","['work', 'require', 'urgent', 'help', 'laptop', 'speaker', 'work', 'require', 'urgent', 'help']"
user needs help to connect to the wireless connection at home.,user need help connect wireless connection home user need help connect wireless connection home user connect lan home connect user system use teamviewer check network setting help user login home wireless disconnected home lan user confirm able login home wireless issue resolve,imoelsap gxdwkimv,GRP_0,GRP_0,334,0.0,0.9623000025749207,"user, issue, tool, unable, access, error, need, work, help, system","['user', 'nee', 'help', 'connect', 'wireless', 'connection', 'home', 'user', 'nee', 'help', 'connect', 'wireless', 'connection', 'home', 'user', 'system', 'check', 'network', 'set', 'help', 'user', 'disconnected', 'lan', 'user', 'confirm', 'able', 'issue', 'resolve']"
inc1564062: ticket update ,inc ticket update inc ticket update,pwkrlqbc zslqfmka,GRP_0,GRP_0,26,1.0,0.8812999725341797,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['ticket', 'update']"
job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00  ,job hr payroll na fail job scheduler job hr payroll na fail job scheduler,bpctwhsn kzqsbmtp,GRP_10,GRP_10,114,2.0,0.9660000205039978,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'fail', 'job', 'scheduler', 'job', 'fail', 'job', 'scheduler']"
job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00  ,job hr payroll na fail job scheduler job hr payroll na fail job scheduler,bpctwhsn kzqsbmtp,GRP_10,GRP_10,114,2.0,0.9660000205039978,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'fail', 'job', 'scheduler', 'job', 'fail', 'job', 'scheduler']"
job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00  ,job hr payroll na fail job scheduler job hr payroll na fail job scheduler,bpctwhsn kzqsbmtp,GRP_10,GRP_10,114,2.0,0.9660000205039978,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'fail', 'job', 'scheduler', 'job', 'fail', 'job', 'scheduler']"
"power outage:UK al, 1st and 5th ave sites hard down since at 4:31 pm et on 10/30. ",power outage uk al ave site hard since pm et type outage network circuit power please specify type outage top cert site yes yes na start pm et scheduled maintenance power yno yes na company power provider power scheduled maintenance network yes na company maint yes provider maint ticket site backup circuit yes yes na backup circuit active na yes na site contact notify phone email yes na remote dial na yes na equipment reset na yes na verify site working backup circuit na yes na vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notify gsc yes na cert start yes na additional diagnostic,mnlazfsr mtqrkhnx,GRP_8,GRP_8,1197,1.0,0.9934999942779541,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['power', 'outage', 'network', 'circuit', 'power', 'specify_type', 'outage_top', 'cert', 'site', 'start', 'power', 'yno', 'company', 'network', 'company', 'maint', 'provider_maint', 'ticket', 'site', 'backup', 'circuit', 'backup', 'circuit', 'active', 'site', 'contact', 'notify', 'phone', 'email', 'equipment', 'reset', 'verify', 'site', 'work', 'backup', 'circuit', 'vendor', 'ticket', 'telecom', 'vendor', 'cert', 'start']"
"power outage : germany, mx: site is hard down since 10/30/2016 10:09 am et",power outage germany mx site hard since et type outage network circuit power please specify type outage top cert site yes na start et scheduled maintenance power yes na company power provider power scheduled maintenance network yes na company maint yes provider maint ticket site backup circuit yes na backup circuit active yes na site contact notify phone email yes na remote dial yes na equipment reset yes na verify site work backup circuit yes na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes na cert start yes na additional diagnostic,jyoqwxhz clhxsoqy,GRP_8,GRP_8,1156,1.0,0.9936000108718872,"company, site, ticket, network, circuit, reset, backup, start, power, vendor","['outage', 'site', 'type_outage', 'network', 'circuit', 'power', 'specify_type', 'outage_top', 'cert', 'site', 'start', 'power', 'company', 'network', 'company', 'maint', 'provider_maint', 'ticket', 'site', 'backup', 'circuit', 'backup', 'circuit', 'active', 'site', 'contact', 'notify', 'phone', 'email', 'remote_dial', 'equipment', 'reset', 'verify', 'site', 'work', 'backup', 'circuit', 'vendor', 'ticket', 'telecom', 'vendor', 'cert', 'start']"
job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00  ,job job fail job scheduler job job fail job scheduler,bpctwhsn kzqsbmtp,GRP_6,GRP_6,106,2.0,0.9725000262260437,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'fail', 'job', 'scheduler', 'job', 'job', 'fail', 'job', 'scheduler']"
user yhmwxsqj ugnthxky having issues logging to outlook. ,user issue log outlook user issue log outlook rgtry available tomorrow around work company campus request reach fix issue,rdfjsawg zpmxgdcw,GRP_0,GRP_0,188,0.0,0.9894000291824341,"user, issue, tool, unable, access, error, need, work, help, system","['issue', 'issue', 'available', 'tomorrow', 'work', 'company', 'campus', 'request', 'reach', 'fix', 'issue']"
job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00  ,job bwhrattr fail job scheduler job bwhrattr fail job scheduler,bpctwhsn kzqsbmtp,GRP_9,GRP_9,106,2.0,0.9552000164985657,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['job', 'job', 'job', 'bwhrattr', 'job', 'scheduler']"
engineering tool drawing originals in pdf format are not shown,engineer tool drawing original pdf format show hello service need monitor manufacture drawing approve manufacture engineering tool stop show pdf original process erp production order interface vendor bas cr rfc destination production order interface vendor view accessible file stamp bapireturnederrorexception stack trace cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java -PRON- jcoerpmanager java wt cadagent erp conn jco tm jcoerpmanager handlereturnstructure jcoerpmanager java -PRON- jcoerpmanager java wt cadagent erp conn jco tm jcoerpmanager generirtcfunction jcoerpmanager java -PRON- jcoerpmanager java wt cadagent objmod plmfile checkoutview plmfile java -PRON- plmfile java aju plm omf omforiginalsexport checkoutbapi omforiginalsexport java -PRON- omforiginalsexport java rb plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java -PRON- omforiginalsexport java rb plm omf omforiginalsexport actionperformed omforiginalsexport java -PRON- omforiginalsexport java rb cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java -PRON- obrfunctioneventqueue java bda api bapi document checkoutview know problem fix,vlymsnej whlqxcst,GRP_11,GRP_11,1675,0.0,0.9656999707221985,"user, issue, tool, unable, access, error, need, work, help, system","['draw', 'original', 'format', 'show', 'hello', 'service', 'need', 'monitor', 'manufacture', 'drawing', 'approve', 'manufacture', 'engineering', 'tool', 'stop', 'show', 'original', 'process', 'production', 'order', 'interface', 'destination', 'production', 'order', 'interface', 'vendor', 'view', 'accessible', 'file', 'stamp', 'pron', 'pron', 'pron', 'cadagent', 'objmod', 'plmfile', 'document', 'know', 'problem', 'fix']"
